class,P_box,R_box,AP50_box,AP_box,P_seg,R_seg,AP50_seg,AP_seg
Buckling,0.25567848020667927,0.11764705882352941,0.09281095176010432,0.04125193394176445,0.12442083361807417,0.058823529411764705,0.04779120879120879,0.01854322344322344
Crack,0.546340107787206,0.33610142299493206,0.34823370768041106,0.1658220760051601,0.4708943178607664,0.29069767441860467,0.3063768409541461,0.10729045505554816
Debris,0.7787764876787877,0.42105263157894735,0.47377380952380954,0.22821908202437863,0.8717951903786605,0.47368421052631576,0.538875,0.2857637165701682
Hole,0.7902021507630306,0.7142857142857143,0.7383333333333333,0.44425555555555557,0.6292369713375568,0.5714285714285714,0.5364444444444444,0.25695555555555555
Joint offset,0.5106125591984478,0.23809523809523808,0.3138115451633633,0.13237392770761908,0.7062501962658779,0.3333333333333333,0.40042828338580627,0.18908772629129736
Obstacle,0.5742173296697355,0.6896551724137931,0.7087400637646403,0.4019435057631789,0.6019781593355509,0.7241379310344828,0.7150476318710015,0.4296547876636727
Utility intrusion,0.8623392651652603,0.8846153846153846,0.9518456544780074,0.6321888224107297,0.8599915562780092,0.8846153846153846,0.9518456544780074,0.6727714708052439
