class,P_box,R_box,AP50_box,AP_box,P_seg,R_seg,AP50_seg,AP_seg
Buckling,0.20201446224377967,0.11764705882352941,0.0804009119851809,0.04383075242192268,0.10120402104830001,0.058823529411764705,0.04783964794304657,0.016487754400306653
Crack,0.5879987464028561,0.3983196270303167,0.3970675857807484,0.207804251556957,0.3975974232490359,0.26863069181335575,0.2659370665818097,0.10934084238178846
Debris,0.6468822081962147,0.47368421052631576,0.5968974645973228,0.26002219975786595,0.6523976413785925,0.47368421052631576,0.6037676936049565,0.3133649299451747
Hole,0.6438162538475256,0.7142857142857143,0.8316666666666668,0.5553947689768977,0.516047971423484,0.5714285714285714,0.5079189189189188,0.3283949611988225
Joint offset,0.3719348330967325,0.16666666666666666,0.22452723697875043,0.10379481521940041,0.4258761648548427,0.19047619047619047,0.2956401749690801,0.12431317754240004
Obstacle,0.6310132571351247,0.7931034482758621,0.7038891546535134,0.3472909654694678,0.6316407326510909,0.7931034482758621,0.683397978463053,0.37612967089652705
Utility intrusion,0.7125869724628278,0.8584883618936971,0.9007902700322455,0.593769702267428,0.7374514564334158,0.8846153846153846,0.9199089512637899,0.6276564229573125
