epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,1278.94,1.28928,1.72881,1.56743,0.0106,0.91618,0.38035,0.41286,0.34135,0.18591,0.38799,0.40676,0.32456,0.17408,1.73243,2.92658,2.41838,0.02049,0,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,1332.29,1.29348,1.77819,1.58198,0.01059,0.91083,0.39953,0.46068,0.39217,0.21866,0.39971,0.44306,0.36716,0.20226,1.71605,2.93543,2.11822,0.02044,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,1388.81,1.26497,1.64008,1.54883,0.01037,0.93015,0.48446,0.42538,0.42422,0.2354,0.46622,0.42319,0.39471,0.22842,1.68336,3.03057,2.02375,0.02003,0,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,1442.47,1.29347,1.72194,1.55335,0.01059,0.87683,0.4527,0.40911,0.39757,0.21628,0.42738,0.4,0.37894,0.20641,1.68011,2.92122,2.11529,0.01981,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,1497.16,1.31257,1.74435,1.56859,0.01036,0.90262,0.45794,0.45697,0.41913,0.22512,0.44009,0.42027,0.38584,0.21407,1.71526,2.8589,2.1358,0.02033,0,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,1549.79,1.26994,1.64623,1.43018,0.00988,0.85946,0.61853,0.37673,0.43029,0.22112,0.53777,0.35519,0.3854,0.20881,1.72865,2.91564,2.12489,0.02025,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,1604,1.2481,1.68427,1.51274,0.01014,0.87534,0.47516,0.43438,0.41593,0.2275,0.46955,0.41212,0.39259,0.21457,1.72129,2.84627,2.20888,0.02046,0,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,1654.84,1.26079,1.59828,1.44734,0.01015,0.84122,0.47947,0.4312,0.42337,0.22372,0.45993,0.41731,0.39116,0.2138,1.74654,2.93678,2.09161,0.02047,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,1707.56,1.29325,1.64166,1.5232,0.01081,0.89468,0.41734,0.39831,0.38461,0.20098,0.4183,0.37814,0.35941,0.18975,1.77089,3.07276,2.30262,0.02079,0,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,1760.25,1.24884,1.65474,1.47173,0.00977,0.86388,0.39767,0.40435,0.3986,0.22634,0.3873,0.39419,0.38267,0.21248,1.64137,2.94489,2.0784,0.01893,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,1814.16,1.2481,1.59211,1.42624,0.01007,0.84311,0.40656,0.44814,0.40845,0.22594,0.4087,0.44823,0.4031,0.22839,1.72858,2.88272,2.15541,0.01992,0,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,1865.5,1.20652,1.56675,1.42395,0.00987,0.81303,0.50807,0.41066,0.41889,0.23177,0.45839,0.39517,0.38947,0.22896,1.72798,3.06424,2.3546,0.02009,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,1918.83,1.22411,1.60032,1.45572,0.00972,0.85632,0.43634,0.47182,0.40784,0.22062,0.39903,0.46213,0.37633,0.2055,1.72174,2.92351,2.06556,0.02014,0,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,1971.4,1.2091,1.58321,1.43026,0.00975,0.84004,0.49532,0.44601,0.41878,0.22985,0.50475,0.43001,0.39723,0.22159,1.71859,2.96186,2.15375,0.02007,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
